TransactionID, WeekNumber, EmployeeID, HoursWorked, HourlyWage

TM-1001,1,TL-1001,39,15
TM-1002,1,TL-1002,55,15
TM-1003,1,TL-1003,36,15
TM-1004,1,TL-1004,44,15
TM-1005,1,TL-1005,36,15
TM-1006,1,TL-1006,51,15
TM-1007,1,TL-1007,47,15
TM-1008,1,TL-1008,33,15
TM-1009,1,TL-1009,51,15
TM-1010,1,TL-1010,31,15
TM-1011,1,TL-1011,39,15
TM-1012,1,TL-1012,44,15
TM-1013,2,TL-1000,56,15
TM-1014,2,TL-1001,51,15
TM-1015,2,TL-1002,38,15
TM-1016,2,TL-1003,52,15
TM-1017,2,TL-1004,47,15
TM-1018,2,TL-1005,40,15
TM-1019,2,TL-1006,54,15
TM-1020,2,TL-1007,38,15
TM-1021,2,TL-1008,33,15
TM-1022,2,TL-1009,56,15
TM-1023,2,TL-1010,31,15
TM-1024,2,TL-1011,55,15
TM-1025,2,TL-1012,43,15
TM-1026,3,TL-1000,46,15
TM-1027,3,TL-1001,32,15
TM-1028,3,TL-1002,44,15
TM-1029,3,TL-1003,51,15
TM-1030,3,TL-1004,52,15
TM-1031,3,TL-1005,51,15
TM-1032,3,TL-1006,51,15
TM-1033,3,TL-1007,36,15
TM-1034,3,TL-1008,44,15
TM-1035,3,TL-1009,35,15
TM-1036,3,TL-1010,30,15
TM-1037,3,TL-1011,51,15
TM-1038,3,TL-1012,48,15
TM-1039,4,TL-1000,38,15
TM-1040,4,TL-1001,35,15
TM-1041,4,TL-1002,54,15
TM-1042,4,TL-1003,34,15
TM-1043,4,TL-1004,35,15
TM-1044,4,TL-1005,30,15
TM-1045,4,TL-1006,44,15
TM-1046,4,TL-1007,33,15
TM-1047,4,TL-1008,39,15
TM-1048,4,TL-1009,30,15
TM-1049,4,TL-1010,35,15
TM-1050,4,TL-1011,45,15
TM-1051,4,TL-1012,33,15
TM-1052,5,TL-1000,31,15
TM-1053,5,TL-1001,50,15
TM-1054,5,TL-1002,51,15
TM-1055,5,TL-1003,44,15
TM-1056,5,TL-1004,50,15
TM-1057,5,TL-1005,36,15
TM-1058,5,TL-1006,43,15
TM-1059,5,TL-1007,35,15
TM-1060,5,TL-1008,44,15
TM-1061,5,TL-1009,55,15
TM-1062,5,TL-1010,42,15
TM-1063,5,TL-1011,43,15
TM-1064,5,TL-1012,48,15
TM-1065,6,TL-1000,54,15
TM-1066,6,TL-1001,48,15
TM-1067,6,TL-1002,54,15
TM-1068,6,TL-1003,37,15
TM-1069,6,TL-1004,35,15
TM-1070,6,TL-1005,35,15
TM-1071,6,TL-1006,35,15
TM-1072,6,TL-1007,30,15
TM-1073,6,TL-1008,52,15
TM-1074,6,TL-1009,56,15
TM-1075,6,TL-1010,56,15
TM-1076,6,TL-1011,46,15
TM-1077,6,TL-1012,31,15
TM-1078,7,TL-1000,39,15
TM-1079,7,TL-1001,32,15
TM-1080,7,TL-1002,38,15
TM-1081,7,TL-1003,42,15
TM-1082,7,TL-1004,42,15
TM-1083,7,TL-1005,51,15
TM-1084,7,TL-1006,43,15
TM-1085,7,TL-1007,40,15
TM-1086,7,TL-1008,34,15
TM-1087,7,TL-1009,42,15
TM-1088,7,TL-1010,50,15
TM-1089,7,TL-1011,50,15
TM-1090,7,TL-1012,39,15
TM-1091,8,TL-1000,54,15
TM-1092,8,TL-1001,45,15
TM-1093,8,TL-1002,40,15
TM-1094,8,TL-1003,53,15
TM-1095,8,TL-1004,39,15
TM-1096,8,TL-1005,47,15
TM-1097,8,TL-1006,56,15
TM-1098,8,TL-1007,34,15
TM-1099,8,TL-1008,47,15
TM-1100,8,TL-1009,41,15
TM-1101,8,TL-1010,30,15
TM-1102,8,TL-1011,32,15
TM-1103,8,TL-1012,48,15
TM-1104,9,TL-1000,53,15
TM-1105,9,TL-1001,31,15
TM-1106,9,TL-1002,39,15
TM-1107,9,TL-1003,43,15
TM-1108,9,TL-1004,48,15
TM-1109,9,TL-1005,42,15
TM-1110,9,TL-1006,52,15
TM-1111,9,TL-1007,30,15
TM-1112,9,TL-1008,56,15
TM-1113,9,TL-1009,42,15
TM-1114,9,TL-1010,40,15
TM-1115,9,TL-1011,39,15
TM-1116,9,TL-1012,39,15
TM-1117,10,TL-1000,53,15
TM-1118,10,TL-1001,46,15
TM-1119,10,TL-1002,43,15
TM-1120,10,TL-1003,53,15
TM-1121,10,TL-1004,39,15
TM-1122,10,TL-1005,46,15
TM-1123,10,TL-1006,36,15
TM-1124,10,TL-1007,47,15
TM-1125,10,TL-1008,50,15
TM-1126,10,TL-1009,39,15
TM-1127,10,TL-1010,46,15
TM-1128,10,TL-1011,53,15
TM-1129,10,TL-1012,45,15
TM-1130,11,TL-1000,32,15
TM-1131,11,TL-1001,42,15
TM-1132,11,TL-1002,41,15
TM-1133,11,TL-1003,41,15
TM-1134,11,TL-1004,50,15
TM-1135,11,TL-1005,49,15
TM-1136,11,TL-1006,41,15
TM-1137,11,TL-1007,52,15
TM-1138,11,TL-1008,47,15
TM-1139,11,TL-1009,45,15
TM-1140,11,TL-1010,35,15
TM-1141,11,TL-1011,32,15
TM-1142,11,TL-1012,49,15
TM-1143,12,TL-1000,43,15
TM-1144,12,TL-1001,36,15
TM-1145,12,TL-1002,55,15
TM-1146,12,TL-1003,49,15
TM-1147,12,TL-1004,44,15
TM-1148,12,TL-1005,52,15
TM-1149,12,TL-1006,39,15
TM-1150,12,TL-1007,51,15
TM-1151,12,TL-1008,43,15
TM-1152,12,TL-1009,50,15
TM-1153,12,TL-1010,42,15
TM-1154,12,TL-1011,38,15
TM-1155,12,TL-1012,33,15
TM-1156,13,TL-1000,37,15
TM-1157,13,TL-1001,52,15
TM-1158,13,TL-1002,42,15
TM-1159,13,TL-1003,38,15
TM-1160,13,TL-1004,32,15
TM-1161,13,TL-1005,52,15
TM-1162,13,TL-1006,32,15
TM-1163,13,TL-1007,46,15
TM-1164,13,TL-1008,44,15
TM-1165,13,TL-1009,42,15
TM-1166,13,TL-1010,48,15
TM-1167,13,TL-1011,36,15
TM-1168,13,TL-1012,50,15
TM-1169,14,TL-1000,51,15
TM-1170,14,TL-1001,31,15
TM-1171,14,TL-1002,41,15
TM-1172,14,TL-1003,30,15
TM-1173,14,TL-1004,34,15
TM-1174,14,TL-1005,39,15
TM-1175,14,TL-1006,53,15
TM-1176,14,TL-1007,32,15
TM-1177,14,TL-1008,46,15
TM-1178,14,TL-1009,31,15
TM-1179,14,TL-1010,36,15
TM-1180,14,TL-1011,50,15
TM-1181,14,TL-1012,56,15
TM-1182,15,TL-1000,38,15
TM-1183,15,TL-1001,56,15
TM-1184,15,TL-1002,41,15
TM-1185,15,TL-1003,42,15
TM-1186,15,TL-1004,35,15
TM-1187,15,TL-1005,34,15
TM-1188,15,TL-1006,49,15
TM-1189,15,TL-1007,37,15
TM-1190,15,TL-1008,38,15
TM-1191,15,TL-1009,32,15
TM-1192,15,TL-1010,45,15
TM-1193,15,TL-1011,51,15
TM-1194,15,TL-1012,56,15
TM-1195,16,TL-1000,42,15
TM-1196,16,TL-1001,31,15
TM-1197,16,TL-1002,52,15
TM-1198,16,TL-1003,51,15
TM-1199,16,TL-1004,35,15
TM-1200,16,TL-1005,54,15
TM-1201,16,TL-1006,49,15
TM-1202,16,TL-1007,43,15
TM-1203,16,TL-1008,55,15
TM-1204,16,TL-1009,30,15
TM-1205,16,TL-1010,51,15
TM-1206,16,TL-1011,41,15
TM-1207,16,TL-1012,43,15
TM-1208,17,TL-1000,40,15
TM-1209,17,TL-1001,30,15
TM-1210,17,TL-1002,55,15
TM-1211,17,TL-1003,56,15
TM-1212,17,TL-1004,55,15
TM-1213,17,TL-1005,40,15
TM-1214,17,TL-1006,54,15
TM-1215,17,TL-1007,49,15
TM-1216,17,TL-1008,37,15
TM-1217,17,TL-1009,50,15
TM-1218,17,TL-1010,51,15
TM-1219,17,TL-1011,40,15
TM-1220,17,TL-1012,39,15
TM-1221,18,TL-1000,34,15
TM-1222,18,TL-1001,55,15
TM-1223,18,TL-1002,30,15
TM-1224,18,TL-1003,33,15
TM-1225,18,TL-1004,31,15
TM-1226,18,TL-1005,35,15
TM-1227,18,TL-1006,56,15
TM-1228,18,TL-1007,33,15
TM-1229,18,TL-1008,42,15
TM-1230,18,TL-1009,45,15
TM-1231,18,TL-1010,37,15
TM-1232,18,TL-1011,39,15
TM-1233,18,TL-1012,55,15
TM-1234,19,TL-1000,34,15
TM-1235,19,TL-1001,46,15
TM-1236,19,TL-1002,38,15
TM-1237,19,TL-1003,33,15
TM-1238,19,TL-1004,41,15
TM-1239,19,TL-1005,43,15
TM-1240,19,TL-1006,49,15
TM-1241,19,TL-1007,37,15
TM-1242,19,TL-1008,32,15
TM-1243,19,TL-1009,40,15
TM-1244,19,TL-1010,36,15
TM-1245,19,TL-1011,36,15
TM-1246,19,TL-1012,52,15
TM-1247,20,TL-1000,47,15
TM-1248,20,TL-1001,45,15
TM-1249,20,TL-1002,37,15
TM-1250,20,TL-1003,46,15
TM-1251,20,TL-1004,36,15
TM-1252,20,TL-1005,46,15
TM-1253,20,TL-1006,55,15
TM-1254,20,TL-1007,48,15
TM-1255,20,TL-1008,39,15
TM-1256,20,TL-1009,48,15
TM-1257,20,TL-1010,41,15
TM-1258,20,TL-1011,53,15
TM-1259,20,TL-1012,49,15
TM-1260,21,TL-1000,49,15
TM-1261,21,TL-1001,33,15
TM-1262,21,TL-1002,54,15
TM-1263,21,TL-1003,39,15
TM-1264,21,TL-1004,51,15
TM-1265,21,TL-1005,49,15
TM-1266,21,TL-1006,52,15
TM-1267,21,TL-1007,56,15
TM-1268,21,TL-1008,30,15
TM-1269,21,TL-1009,39,15
TM-1270,21,TL-1010,56,15
TM-1271,21,TL-1011,46,15
TM-1272,21,TL-1012,44,15
TM-1273,22,TL-1000,53,15
TM-1274,22,TL-1001,45,15
TM-1275,22,TL-1002,44,15
TM-1276,22,TL-1003,31,15
TM-1277,22,TL-1004,51,15
TM-1278,22,TL-1005,47,15
TM-1279,22,TL-1006,51,15
TM-1280,22,TL-1007,43,15
TM-1281,22,TL-1008,53,15
TM-1282,22,TL-1009,47,15
TM-1283,22,TL-1010,45,15
TM-1284,22,TL-1011,47,15
TM-1285,22,TL-1012,42,15
TM-1286,23,TL-1000,51,15
TM-1287,23,TL-1001,32,15
TM-1288,23,TL-1002,34,15
TM-1289,23,TL-1003,31,15
TM-1290,23,TL-1004,36,15
TM-1291,23,TL-1005,46,15
TM-1292,23,TL-1006,55,15
TM-1293,23,TL-1007,35,15
TM-1294,23,TL-1008,42,15
TM-1295,23,TL-1009,35,15
TM-1296,23,TL-1010,32,15
TM-1297,23,TL-1011,46,15
TM-1298,23,TL-1012,45,15
TM-1299,24,TL-1000,54,15
TM-1300,24,TL-1001,55,15
TM-1301,24,TL-1002,51,15
TM-1302,24,TL-1003,50,15
TM-1303,24,TL-1004,38,15
TM-1304,24,TL-1005,49,15
TM-1305,24,TL-1006,34,15
TM-1306,24,TL-1007,42,15
TM-1307,24,TL-1008,36,15
TM-1308,24,TL-1009,50,15
TM-1309,24,TL-1010,41,15
TM-1310,24,TL-1011,38,15
TM-1311,24,TL-1012,49,15
TM-1312,25,TL-1000,45,15
TM-1313,25,TL-1001,44,15
TM-1314,25,TL-1002,42,15
TM-1315,25,TL-1003,43,15
TM-1316,25,TL-1004,31,15
TM-1317,25,TL-1005,34,15
